id,value,LeastPrivilegeRole,adminConsentDescription,adminConsentDisplayName
2ef770a1-622a-47c4-93ee-28d6adbed3a0,EduAssignments.ReadWriteBasic,Intune Administrator,Allows the app to read and write assignments without grades on behalf of the user.,Read and write users' class assignments without grades
484859e8-b9e2-4e92-b910-84db35dadd29,EduCurricula.Read,Global Reader,Allows the app to read the user's modules and resources on behalf of the signed-in user.,Read the user's class modules and resources
4793c53b-df34-44fd-8d26-d15c517732f5,EduCurricula.ReadWrite,Compliance Administrator,Allows the app to read and write user's modules and resources on behalf of the signed-in user.,Read and write the user's class modules and resources
a4389601-22d9-4096-ac18-36a927199112,EduRoster.Read,Directory Readers,Allows the app to read the structure of schools and classes in an organization's roster and education-specific information about users to be read on behalf of the user.,Read users' view of the roster
5d186531-d1bf-4f07-8cea-7c42119e1bd9,EduRoster.ReadBasic,Directory Readers,"Allows the app to read a limited subset of the properties from the structure of schools and classes in an organization's roster and a limited subset of properties about users to be read on behalf of the user.ï¿½ï¿½Includes name, status, education role, email address and photo.",Read a limited subset of users' view of the roster
359e19a6-e3fa-4d7f-bcab-d28ec592b51e,EduRoster.ReadWrite,User Administrator,Allows the app to read and write the structure of schools and classes in an organization's roster and education-specific information about users to be read and written on behalf of the user.,Read and write users' view of the roster
3cad91a5-8413-4c4a-acfe-dfeb83d1366d,EngagementRole.Read.All,Yammer Administrator,Allows the app to list all Viva Engage roles and role memberships on behalf of the signed-in user.,Read all Viva Engage roles and role memberships
4905982d-6459-4ccd-949c-949fefc0a8f2,EngagementRole.ReadWrite.All,Yammer Administrator,"Allows the app to assign Viva Engage role to a user, and remove a Viva Engage role from a user behalf of the signed-in user.",Modify Viva Engage role membership
5449aa12-1393-4ea2-a7c7-d0e06c1a56b2,EntitlementManagement.Read.All,Identity Governance Administrator,Allows the app to read access packages and related entitlement management resources on behalf of the signed-in user.,Read all entitlement management resources
ae7a573d-81d7-432b-ad44-4ed5c9d89038,EntitlementManagement.ReadWrite.All,Identity Governance Administrator,Allows the app to request access to and management of access packages and related entitlement management resources on behalf of the signed-in user.,Read and write entitlement management resources
f7dd3bed-5eec-48da-bc73-1c0ef50bc9a1,EventListener.Read.All,Global Reader,Allows the app to read your organization's authentication event listeners on behalf of the signed-in user.,Read your organization's authentication event listeners
d11625a6-fe21-4fc6-8d3d-063eba5525ad,EventListener.ReadWrite.All,Global Reader,Allows the app to read or write your organization's authentication event listeners on behalf of the signed-in user.,Read and write your organization's authentication event listeners
a38267a5-26b6-4d76-9493-935b7599116b,ExternalConnection.Read.All,Global Reader,Allows the app to read all external connections on behalf of a signed-in user. The signed-in user must be an administrator.,Read all external connections
bbbbd9b3-3566-4931-ac37-2b2180d9e334,ExternalConnection.ReadWrite.All,Global Administrator,Allows the app to read and write all external connections on behalf of a signed-in user. The signed-in user must be an administrator.,Read and write all external connections
4082ad95-c812-4f02-be92-780c4c4f1830,ExternalConnection.ReadWrite.OwnedBy,Global Reader,Allows the app to read and write settings of external connections on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read and write settings of connections that it is authorized to.,Read and write external connections
922f9392-b1b7-483c-a4be-0089be7704fb,ExternalItem.Read.All,Directory Readers,"Allow the app to read external datasets and content, on behalf of the signed-in user.",Read items in external datasets
b02c54f8-eb48-4c50-a9f0-a149e5a2012f,ExternalItem.ReadWrite.All,Global Administrator,Allows the app to read and write all external items on behalf of a signed-in user. The signed-in user must be an administrator.,Read and write all external items
4367b9d7-cee7-4995-853c-a0bdfe95c1f9,ExternalItem.ReadWrite.OwnedBy,Global Administrator,Allows the app to read and write external items on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read external items of the connection that it is authorized to.,Read and write external items
47167bec-55a7-4caf-9ecc-8d4566e3cfb1,ExternalUserProfile.Read.All,External ID User Flow Attribute Administrator,"Allows the app to read available properties of external user profiles, on behalf of the signed-in user.",Read external user profiles
c6068dc7-a791-46a4-a811-b8228e6649ab,ExternalUserProfile.ReadWrite.All,User Administrator,"Allows the app to read and write available properties of external user profiles, on behalf of the signed-in user.",Read and write external user profiles
ef2779dc-ef1b-4211-8310-8a0ac2450081,Files.SelectedOperations.Selected,User,Allow the application to access files explicitly permissioned to the application on behalf of the signed in user.  The specific files and the permissions granted will be configured in SharePoint Online or OneDrive.,"Access selected Files, on behalf of the signed-in user"
527b6d64-cdf5-4b8b-b336-4aa0b8ca2ce5,FileStorageContainer.Manage.All,Global Administrator,Allows the application to utilize the file storage container administration capabilities on behalf of an administrator user.,Manage all file storage containers
085ca537-6565-41c2-aca7-db852babc212,FileStorageContainer.Selected,User,Allows the application to utilize the file storage container platform to manage containers on behalf of the signed in user. The specific file storage containers and the permissions granted to them will be configured in Microsoft 365 by the developer of each container type.,Access selected file storage containers
092211d9-ca1a-427b-813e-b79c7653fe71,Goals-Export.Read.All,Global Reader,Allows the app to read all goals and export jobs that the signed-in user can access.,Read all goals and export jobs that a user can access
2edeb9fd-4228-480c-a26d-2ed52011cf3d,Goals-Export.ReadWrite.All,Viva Goals Administrator,"Allows the app to read goals, create and read export jobs that the signed-in user can access.",Have full access to all goals and export jobs a user can access
c92fbbc2-50e0-4842-93ef-385c3293ea3d,Group-Conversation.Read.All,Groups Administrator,Allows the app to read group conversations that the signed-in user has access to.,Read group conversations
302bcbb5-855a-4e49-ae20-94a331b0281e,Group-Conversation.ReadWrite.All,Groups Administrator,Allows the app to read and write group conversations that the signed-in user has access to.,Read and write group conversations
5f8c59db-677d-491f-a6b8-5f174b11ec1d,Group.Read.All,Directory Readers,"Allows the app to list groups, and to read their properties and all group memberships on behalf of the signed-in user.  Also allows the app to read calendar, conversations, files, and other group content for all groups the signed-in user can access.",Read all groups
4e46008b-f24c-477d-8fff-7bb4ec7aafe0,Group.ReadWrite.All,Groups Administrator,Allows the app to create groups and read all group properties and memberships on behalf of the signed-in user.  Additionally allows group owners to manage their groups and allows group members to update group content.,Read and write all groups
bc024368-1153-4739-b217-4326f2e966d0,GroupMember.Read.All,Directory Readers,"Allows the app to list groups, read basic group properties and read membership of all groups the signed-in user has access to.",Read group memberships
f81125ac-d3b7-4573-a3b2-7099cc39df9e,GroupMember.ReadWrite.All,Groups Administrator,"Allows the app to list groups, read basic properties, read and update the membership of the groups the signed-in user has access to. Group properties and owners cannot be updated and groups cannot be deleted.",Read and write group memberships
74b4ff32-4917-4536-a66d-38a4861e6220,HealthMonitoringAlert.Read.All,Global Reader,Allows the app to read all scenario health monitoring alerts,Read all scenario health monitoring alerts
b7c60f27-2195-4d5f-96a7-6b98bdfd9664,HealthMonitoringAlert.ReadWrite.All,Global Reader,"Allows the app to read and write all scenario monitoring alerts, on behalf of the signed-in user.",Read and write all scenario monitoring alerts
fb873030-8626-47e6-96ff-8a5bff3b725f,HealthMonitoringAlertConfig.Read.All,Global Reader,Allows the app to read all scenario health monitoring alert configurations,Read all scenario health monitoring alert configurations
b3e5ebc6-1c23-4337-8286-3f27165addb4,HealthMonitoringAlertConfig.ReadWrite.All,Global Administrator,"Allows the app to read and write all scenario monitoring alert configurations, on behalf of the signed-in user.",Read and write all scenario monitoring alert configurations.
43781733-b5a7-4d1b-98f4-e8edff23e1a9,IdentityProvider.Read.All,Directory Readers,Allows the app to read your organizationï¿½??s identity (authentication) providersï¿½?? properties on behalf of the user.,Read identity providers
f13ce604-1677-429f-90bd-8a10b9f01325,IdentityProvider.ReadWrite.All,External Identity Provider Administrator,Allows the app to read and write your organizationï¿½??s identity (authentication) providersï¿½?? properties on behalf of the user.,Read and write identity providers
8f6a01e7-0391-4ee5-aa22-a3af122cef27,IdentityRiskEvent.Read.All,Security Reader,Allows the app to read identity risk event information for all users in your organization on behalf of the signed-in user.,Read identity risk event information
9e4862a5-b68f-479e-848a-4e07e25c9916,IdentityRiskEvent.ReadWrite.All,Security Operator,Allows the app to read and update identity risk event information for all users in your organization on behalf of the signed-in user.ï¿½ï¿½Update operations include confirming risk event detections.ï¿½ï¿½,Read and write risk event information
ea5c4ab0-5a73-4f35-8272-5d5337884e5d,IdentityRiskyServicePrincipal.Read.All,Security Reader,"Allows the app to read all identity risky service principal information for your organization, on behalf of the signed-in user.",Read all identity risky service principal information
bb6f654c-d7fd-4ae3-85c3-fc380934f515,IdentityRiskyServicePrincipal.ReadWrite.All,Security Reader,"Allows the app to read and update identity risky service principal information for all service principals in your organization, on behalf of the signed-in user. Update operations include dismissing risky service principals.",Read and write all identity risky service principal information
d04bb851-cb7c-4146-97c7-ca3e71baf56c,IdentityRiskyUser.Read.All,Security Reader,Allows the app to read identity risky user information for all users in your organization on behalf of the signed-in user.,Read identity risky user information
e0a7cdbb-08b0-4697-8264-0069786e9674,IdentityRiskyUser.ReadWrite.All,Security Operator,Allows the app to read and update identity risky user information for all users in your organization on behalf of the signed-in user.ï¿½ï¿½Update operations include dismissing risky users.,Read and write risky user information
2903d63d-4611-4d43-99ce-a33f3f52e343,IdentityUserFlow.Read.All,External ID User Flow Administrator,"Allows the app to read your organization's user flows, on behalf of the signed-in user.",Read all identity user flows
281892cc-4dbf-4e3a-b6cc-b21029bb4e82,IdentityUserFlow.ReadWrite.All,External ID User Flow Administrator,"Allows the app to read or write your organization's user flows, on behalf of the signed-in user.",Read and write all identity user flows
d19c0de5-7ecb-4aba-b090-da35ebcd5425,IndustryData-DataConnector.Read.All,Global Reader,Allows the app to read data connectors on behalf of the signed-in user.,View data connector definitions
5ce933ac-3997-4280-aed0-cc072e5c062a,IndustryData-DataConnector.ReadWrite.All,Global Administrator,Allows the app to read and write data connectors on behalf of the signed-in user.,Manage data connector definitions
fc47391d-ab2c-410f-9059-5600f7af660d,IndustryData-DataConnector.Upload,Service Support Administrator,Allows the app to upload data files to a data connector on behalf of the signed-in user.,Upload files to a data connector
cb0774da-a605-42af-959c-32f438fb38f4,IndustryData-InboundFlow.Read.All,Global Reader,Allows the app to read inbound data flows on behalf of the signed-in user.,View inbound flow definitions
97044676-2cec-40ee-bd70-38df444c9e70,IndustryData-InboundFlow.ReadWrite.All,Global Administrator,Allows the app to read and write inbound data flows on behalf of the signed-in user.,Manage inbound flow definitions
4741a003-8952-4be4-9217-33a0ac327122,IndustryData-OutboundFlow.Read.All,Global Reader,Allows the app to read outbound data flows on behalf of the signed-in user.,View outbound flow definitions
aeb68e0b-e562-4a1f-b6dd-3484ad0cbb4b,IndustryData-OutboundFlow.ReadWrite.All,Global Administrator,Allows the app to read and write outbound data flows on behalf of the signed-in user.,Manage outbound flow definitions
a3f96ffe-cb84-40a8-ac85-582d7ef97c2a,IndustryData-ReferenceDefinition.Read.All,Global Reader,Allows the app to read reference definitions on behalf of the signed-in user.,View reference definitions
a757d430-be6d-430f-af57-28aabe79d247,IndustryData-ReferenceDefinition.ReadWrite.All,Global Administrator,Allows the app to read and write reference definitions on behalf of the signed-in user.,Manage reference definitions
92685235-50c4-4702-b2c8-36043db6fa79,IndustryData-Run.Read.All,Global Reader,Allows the app to read current and previous IndustryData runs on behalf of the signed-in user.,View current and previous runs
f03a6d0e-0989-460f-80b2-e57c8561763e,IndustryData-Run.Start,Global Administrator,Allows the app to view and start IndustryData runs on behalf of the signed-in user.,View and start runs
49b7016c-89ae-41e7-bd6f-b7170c5490bf,IndustryData-SourceSystem.Read.All,Global Reader,Allows the app to read source system definitions on behalf of the signed-in user.,View source system definitions
9599f005-05d6-4ea7-b1b1-4929768af5d0,IndustryData-SourceSystem.ReadWrite.All,Global Administrator,Allows the app to read and write source system definitions on behalf of the signed-in user.,Manage source system definitions
c9d51f28-8ccd-42b2-a836-fd8fe9ebf2ae,IndustryData-TimePeriod.Read.All,Global Reader,Allows the app to read time period definitions on behalf of the signed-in user.,Read time period definitions
b6d56528-3032-4f9d-830f-5a24a25e6661,IndustryData-TimePeriod.ReadWrite.All,Global Administrator,Allows the app to read and write time period definitions on behalf of the signed-in user.,Manage time period definitions
12f4bffb-b598-413c-984b-db99728f8b54,InformationProtectionConfig.Read,Global Reader,"Allows the app to read the configurations applicable to the signed-in user for protecting organizational data, on behalf of the signed-in user.",Read configurations for protecting organizational data applicable to the user
7d249730-51a3-4180-8ec1-214f144f1bff,Insights-UserMetric.Read.All,Reports Reader,"Allows an app to read user metrics insights, such as daily and monthly active users, on behalf of the signed-in user.",Read user metrics insights
ea4c1fd9-6a9f-4432-8e5d-86e06cc0da77,LearningContent.Read.All,Directory Readers,"Allows the app to read learning content in the organization's directory, on behalf of the signed-in user.",Read learning content
53cec1c4-a65f-4981-9dc1-ad75dbf1c077,LearningContent.ReadWrite.All,Directory Writers,"Allowsï¿½ï¿½theï¿½ï¿½appï¿½ï¿½toï¿½ï¿½manage learningï¿½ï¿½contentï¿½ï¿½inï¿½ï¿½theï¿½ï¿½organization'sï¿½ï¿½directory, on behalf of the signed-in user.",Manageï¿½ï¿½learningï¿½ï¿½content
dd8ce36f-9245-45ea-a99e-8ac398c22861,LearningProvider.Read,Directory Readers,"Allows the app to read data for the learning provider in the organization's directory, on behalf of the signed-in user.",Read learning provider
40c2eb57-abaf-49f5-9331-e90fd01f7130,LearningProvider.ReadWrite,Directory Writers,"Allows the app to create, update, read, and delete data for the learning provider in the organization's directory, on behalf of the signed-in user.",Manageï¿½ï¿½learningï¿½ï¿½provider
f55016cc-149c-447e-8f21-7cf3ec1d6350,LicenseAssignment.ReadWrite.All,License Administrator,"Allows an app to manage license assignments for users and groups, on behalf of the signed-in user.",Manage all license assignments
2973a298-1d69-4f87-8d30-7025f0ec19d7,LifecycleWorkflows-CustomExt.Read.All,Lifecycle Workflows Administrator,Allows the app to read all Lifecycle workflows custom task extensions on behalf of a signed-in user.,Read all Lifecycle workflows custom task extensions
ef6bafb1-3019-4a22-a332-103aff92225f,LifecycleWorkflows-CustomExt.ReadWrite.All,Lifecycle Workflows Administrator,"Allows the app to create, update, list, read and delete all Lifecycle workflows custom task extensions on behalf of a signed-in user.",Read and write all Lifecycle workflows custom task extensions
4d3d7f81-163f-426a-8432-5638d2e82083,LifecycleWorkflows-Reports.Read.All,Lifecycle Workflows Administrator,Allows the app to read all Lifecycle workflows reports on behalf of a signed-in user.,Read all Lifecycle workflows reports
df1c25b3-072c-45cd-8403-c63441e4cca1,LifecycleWorkflows-Workflow.Activate,Lifecycle Workflows Administrator,Allows the app to run workflows on-demand on behalf of a signed-in user.,Run workflows on-demand in Lifecycle workflows
7fabe5bd-2e47-4e61-b924-327117024e18,LifecycleWorkflows-Workflow.Read.All,Lifecycle Workflows Administrator,Allows the app to list and read all workflows and tasks on behalf of a signed-in user.,Read all workflows in Lifecycle workflows
789c445d-433c-4575-a1fc-367a58a1bd4a,LifecycleWorkflows-Workflow.ReadBasic.All,Lifecycle Workflows Administrator,Allows the app to list all workflows on behalf of a signed-in user.,List all workflows in Lifecycle workflows
29e49f0c-a053-4cc5-a4b1-7da0c8c1e643,LifecycleWorkflows-Workflow.ReadWrite.All,Lifecycle Workflows Administrator,"Allows the app to create, update, list, read and delete all workflows and tasks in lifecycle workflows on behalf of a signed-in user.",Read and write all workflows in Lifecycle workflows
9bcb9916-765a-42af-bf77-02282e26b01a,LifecycleWorkflows.Read.All,Lifecycle Workflows Administrator,"Allows the app to list and read all workflows, tasks and related lifecycle workflows resources on behalf of the signed-in user.",Read all lifecycle workflows resources
84b9d731-7db8-4454-8c90-fd9e95350179,LifecycleWorkflows.ReadWrite.All,Lifecycle Workflows Administrator,"Allows the app to create, update, list, read and delete all workflows, tasks and related lifecycle workflows resources on behalf of the signed-in user.",Read and write all lifecycle workflows resources
d6d361b3-211a-4191-9fa7-15f72de4aac4,ListItems.SelectedOperations.Selected,User,Allow the application to access a subset of listitems on behalf of the signed in user.  The specific listitems and the permissions granted will be configured in SharePoint Online.,"Access selected ListItems, on behalf of the signed-in user"
033b51ee-d6fa-4add-b627-ee680c7212b5,Lists.SelectedOperations.Selected,User,Allow the application to access a subset of lists on behalf of the signed in user.  The specific lists and the permissions granted will be configured in SharePoint Online.,"Access selected Lists, on behalf of the signed-in user"
df96e8a0-f4e1-4ecf-8d83-a429f822cbd6,MailboxItem.ImportExport,Exchange Administrator,"Allows the app to backup, restore, and modify mailbox items on behalf of the signed-in user.",Allows the app to perform backup and restore of mailbox items
dc34164e-6c4a-41a0-be89-3ae2fbad7cd3,ManagedTenants.Read.All,Global Reader,Allows the app to read all managed tenant information on behalf of the signed-in user.,Read all managed tenant information
b31fa710-c9b3-4d9e-8f5e-8036eecddab9,ManagedTenants.ReadWrite.All,Global Reader,Allows the app to read and write all managed tenant information on behalf of the signed-in user.,Read and write all managed tenant information
f6a3db3e-f7e8-4ed2-a414-557c8c9830be,Member.Read.Hidden,Directory Readers,"Allows the app to read the memberships of hidden groups and administrative units on behalf of the signed-in user, for those hidden groups and administrative units that the signed-in user has access to.",Read hidden memberships
526aa72a-5878-49fe-bf4e-357973af9b06,MultiTenantOrganization.Read.All,Directory Readers,Allows the app to read multi-tenant organization details and tenants on behalf of the signed-in user.,Read multi-tenant organization details and tenants
77af1528-84f3-4023-8d90-d219cd433108,MultiTenantOrganization.ReadWrite.All,User Administrator,Allows the app to read and write multi-tenant organization details and tenants on behalf of the signed-in user.,Read and write multi-tenant organization details and tenants
51ae584e-e736-4718-897b-10af70f8e3cc,MutualTlsOauthConfiguration.Read.All,Global Reader,"Allows the app to read configuration used for OAuth 2.0 mutual-TLS client authentication, on behalf of the signed-in user. This includes reading trusted certificate authorities.",Read all configurations used for mutual-TLS client authentication.
a51115bc-f64f-498f-bcee-00dcd28f4a03,MutualTlsOauthConfiguration.ReadWrite.All,Global Reader,"Allows the app to read and update configuration used for OAuth 2.0 mutual-TLS client authentication, on behalf of the signed-in user. This includes adding and updating trusted certificate authorities.",Read and write all configurations used for mutual-TLS client authentication.
b0c61509-cfc3-42bd-9bd4-66d81785fee4,NetworkAccess-Reports.Read.All,Global Secure Access Log Reader,Allows the app to read all network access reports on behalf of the signed-in user.,Read all network access reports
2f7013e0-ab4e-447f-a5e1-5d419950692d,NetworkAccess.Read.All,Global Secure Access Administrator,Allows the app to read all network access information on behalf of the signed-in user.,Read all network access information
ae2df9c5-f18d-4ec4-a51b-bdeb807f177b,NetworkAccess.ReadWrite.All,Network Administrator,Allows the app to read and write all network access information and configuration settings on behalf of the signed-in user.,Read and write all network access information
b8a36cc2-b810-461a-baa4-a7281e50bd5c,NetworkAccessBranch.ReadWrite.All,Network Administrator,Allows the app to read and write your organization's branches for network access on behalf of the signed-in user.,Read and write properties of branches for network access
b1fbad0f-ef6e-42ed-8676-bca7fa3e7291,NetworkAccessPolicy.ReadWrite.All,Network Administrator,Allows the app to read and write your organization's security and routing network access policies on behalf of the signed-in user.,Read and write security and routing policies for network access
166741d6-eeb8-46fe-91f4-817d2af7bc88,OnlineMeetingAiInsight.Read.All,Global Reader,"Allows the app to read all AI Insights for online meetings, on behalf of the signed-in user.",Read all AI Insights for online meetings.
190c2bb6-1fdd-4fec-9aa2-7d571b5e1fe3,OnlineMeetingRecording.Read.All,Global Reader,"Allows the app to read all recordings of online meetings, on behalf of the signed-in user.",Read all recordings of online meetings.
30b87d18-ebb1-45db-97f8-82ccb1f0190c,OnlineMeetingTranscript.Read.All,Global Reader,"Allows the app to read all transcripts of online meetings, on behalf of the signed-in user.",Read all transcripts of online meetings.
f6609722-4100-44eb-b747-e6ca0536989d,OnPremDirectorySynchronization.Read.All,Directory Synchronization Accounts,"Allows the app to read all on-premises directory synchronization information for the organization, on behalf of the signed-in user.",Read all on-premises directory synchronization information
c2d95988-7604-4ba1-aaed-38a5f82a51c7,OnPremDirectorySynchronization.ReadWrite.All,Hybrid Identity Administrator,"Allows the app to read and write all on-premises directory synchronization information for the organization, on behalf of the signed-in user.",Read and write all on-premises directory synchronization information
8c4d5184-71c2-4bf8-bb9d-bc3378c9ad42,OnPremisesPublishingProfiles.ReadWrite.All,Hybrid Identity Administrator,"Allows the app to manage hybrid identity service configuration by creating, viewing, updating and deleting on-premises published resources, on-premises agents and agent groups, on behalf of the signed-in user.",Manage on-premises published resources
4908d5b9-3fb2-4b1e-9336-1888b7937185,Organization.Read.All,Directory Readers,"Allows the app to read the organization and related resources, on behalf of the signed-in user.ï¿½ï¿½Related resources include things like subscribed skus and tenant branding information.",Read organization information
46ca0847-7e6b-426e-9775-ea810a948356,Organization.ReadWrite.All,Organizational Branding Administrator,"Allows the app to read and write the organization and related resources, on behalf of the signed-in user.ï¿½ï¿½Related resources include things like subscribed skus and tenant branding information.",Read and write organization information
9082f138-6f02-4f3a-9f4d-5f3c2ce5c688,OrganizationalBranding.Read.All,Organizational Branding Administrator,"Allows the app to read the organizational branding information, on behalf of the signed-in user.",Read organizational branding information
15ce63de-b141-4c9a-a9a5-241bf27c6aaf,OrganizationalBranding.ReadWrite.All,Organizational Branding Administrator,"Allows the app to read and write the organizational branding information, on behalf of the signed-in user.",Read and write organizational branding information
08432d1b-5911-483c-86df-7980af5cdee0,OrgContact.Read.All,Directory Readers,Allows the app to read all organizational contacts on behalf of the signed-in user. ï¿½ï¿½These contacts are managed by the organization and are different from a user's personal contacts.,Read organizational contacts
1e9b7a7e-4d64-44ff-acf5-2e9651c1519f,OrgSettings-AppsAndServices.Read.All,Global Reader,Allows the app to read organization-wide apps and services settings on behalf of the signed-in user.,Read organization-wide apps and services settings
c167b0e7-47c0-48e8-9eee-9892f58018fa,OrgSettings-AppsAndServices.ReadWrite.All,Global Administrator,Allows the app to read and write organization-wide apps and services settings on behalf of the signed-in user.,Read and write organization-wide apps and services settings
9862d930-5aec-4a98-8d4f-7277a8db9bcb,OrgSettings-DynamicsVoice.Read.All,Dynamics 365 Administrator,Allows the app to read organization-wide Dynamics customer voice settings on behalf of the signed-in user.,Read organization-wide Dynamics customer voice settings
4cea26fb-6967-4234-82c4-c044414743f8,OrgSettings-DynamicsVoice.ReadWrite.All,Dynamics 365 Administrator,Allows the app to read and write organization-wide Dynamics customer voice settings on behalf of the signed-in user.,Read and write organization-wide Dynamics customer voice settings
210051a0-1ffc-435c-ae76-02d226d05752,OrgSettings-Forms.Read.All,Global Reader,Allows the app to read organization-wide Microsoft Forms settings on behalf of the signed-in user.,Read organization-wide Microsoft Forms settings
346c19ff-3fb2-4e81-87a0-bac9e33990c1,OrgSettings-Forms.ReadWrite.All,Global Reader,Allows the app to read and write organization-wide Microsoft Forms settings on behalf of the signed-in user.,Read and write organization-wide Microsoft Forms settings
8cbdb9f6-9c2e-451a-814d-ec606e5d0212,OrgSettings-Microsoft365Install.Read.All,Global Reader,Allows the app to read organization-wide Microsoft 365 apps installation settings on behalf of the signed-in user.,Read organization-wide Microsoft 365 apps installation settings
1ff35e91-19eb-42d8-aa2d-cc9891127ae5,OrgSettings-Microsoft365Install.ReadWrite.All,Office Apps Administrator,Allows the app to read and write organization-wide Microsoft 365 apps installation settings on behalf of the signed-in user.,Read and write organization-wide Microsoft 365 apps installation settings
7ff96f41-f022-45ba-acd8-ef3f03063d6b,OrgSettings-Todo.Read.All,Global Reader,Allows the app to read organization-wide Microsoft To Do settings on behalf of the signed-in user.,Read organization-wide Microsoft To Do settings
087502c2-5263-433e-abe3-8f77231a0627,OrgSettings-Todo.ReadWrite.All,Global Reader,Allows the app to read and write organization-wide Microsoft To Do settings on behalf of the signed-in user.,Read and write organization-wide Microsoft To Do settings
8804798e-5934-4e30-8ce3-ef88257cecd4,PartnerBilling.Read.All,Billing Administrator,"Allows the app to read all of billing data from Microsoft for your company's tenant, on behalf of the signed-in user. This includes reading billed and unbilled Usage and Invoice reconciliation data.",Read all billing data for your company's tenant
5567b981-0bf1-4796-9038-0648b46e116d,PartnerSecurity.Read.All,Security Reader,Allows the app to read security alerts of customer with CSP relationship on behalf of the partner signed-in user.,Read security alerts of customer with CSP relationship
0cd2c1f6-94a1-4075-ab8c-0b1aff2e1ad5,PartnerSecurity.ReadWrite.All,Partner Tier1 Support,Allows the app to read security alerts and update status of alerts of customer with CSP relationship on behalf of the partner signed-in user.,Read security alerts and update status of security alerts of customer with CSP relationship
d88fd3fb-53d3-4c1c-8c39-787fcac2ed7a,PendingExternalUserProfile.Read.All,Global Reader,"Allows the app to read available properties of pending external user profiles, on behalf of the signed-in user.",Read pending external user profiles
93a1fb28-c908-4826-904e-0c74ad352b73,PendingExternalUserProfile.ReadWrite.All,User Administrator,"Allows the app to read and write available properties of pending external user profiles, on behalf of the signed-in user.",Read and write pending external user profiles
b89f9189-71a5-4e70-b041-9887f0bc7e4a,People.Read.All,People Administrator,"Allows the app to read a scored list of relevant people of the signed-in user or other users in the signed-in user's organization. The list can include local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).",Read all users' relevant people lists
ec762c5f-388b-4b16-8693-ac1efbc611bc,PeopleSettings.Read.All,People Administrator,Allows the application to read tenant-wide people settings on behalf of the signed-in user.,Read tenant-wide people settings
e67e6727-c080-415e-b521-e3f35d5248e9,PeopleSettings.ReadWrite.All,People Administrator,Allows the application to read and write tenant-wide people settings on behalf of the signed-in user.,Read and write tenant-wide people settings
cb8f45a0-5c2e-4ea1-b803-84b870a7d7ec,Place.Read.All,Directory Readers,"Allows the app to read your company's places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.",Read all company places
4c06a06a-098a-4063-868e-5dfee3827264,Place.ReadWrite.All,Exchange Administrator,"Allows the app to manage organization places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.",Read and write organization places
4c7f93d2-6b0b-4e05-91aa-87842f0a2142,PlaceDevice.Read.All,Cloud Device Administrator,"Allows the app to read all workplace devices, on behalf of the signed-in user.",Read all workplace devices
eafd6a71-e95a-4f8a-bb6e-fb84ab7fbd9e,PlaceDevice.ReadWrite.All,Cloud Device Administrator,"Allows the app to read and write all workplace devices, on behalf of the signed-in user.",Read and write all workplace devices
572fea84-0151-49b2-9301-11cb16974376,Policy.Read.All,Global Reader,Allows the app to read your organization's policies on behalf of the signed-in user.,Read your organization's policies
3616a4b0-6746-49c4-a678-4c237599074d,Policy.Read.DeviceConfiguration,Global Reader,"Allows the app to read your organization's device configuration policies on behalf of the signed-in user.  For example, device registration policy can limit initial provisioning controls using quota restrictions, additional authentication and authorization checks.",Read your organization's device configuration policies
d146432f-b803-4ed4-8d42-ba74193a6ede,Policy.Read.IdentityProtection,Security Reader,Allows the app to read your organizationï¿½??s identity protection policy on behalf of the signed-in user.,Read your organizationï¿½??s identity protection policy
414de6ea-2d92-462f-b120-6e2a809a6d01,Policy.Read.PermissionGrant,Global Reader,"Allows the app to read policies related to consent and permission grants for applications, on behalf of the signed-in user.",Read consent and permission grant policies
4f5bc9c8-ea54-4772-973a-9ca119cb0409,Policy.ReadWrite.AccessReview,Identity Governance Administrator,Allows the app to read and write your organization's directory access review default policy on behalf of the signed-in user.,Read and write your organization's directory access review default policy
b27add92-efb2-4f16-84f5-8108ba77985c,Policy.ReadWrite.ApplicationConfiguration,Application Administrator,"Allows the app to read and write your organization's application configuration policies on behalf of the signed-in user.  This includes policies such as activityBasedTimeoutPolicy, claimsMappingPolicy, homeRealmDiscoveryPolicy,  tokenIssuancePolicy and tokenLifetimePolicy.",Read and write your organization's application configuration policies
edb72de9-4252-4d03-a925-451deef99db7,Policy.ReadWrite.AuthenticationFlows,Authentication Policy Administrator,"Allows the app to read and write the authentication flow policies, on behalf of the signed-in user.",Read and write authentication flow policies
7e823077-d88e-468f-a337-e18f1f0e6c7c,Policy.ReadWrite.AuthenticationMethod,Authentication Policy Administrator,"Allows the app to read and write the authentication method policies, on behalf of the signed-in user.ï¿½ï¿½",Read and write authentication method policies
edd3c878-b384-41fd-95ad-e7407dd775be,Policy.ReadWrite.Authorization,Authentication Policy Administrator,"Allows the app to read and write your organization's authorization policy on behalf of the signed-in user.  For example, authorization policies can control some of the permissions that the out-of-the-box user role has by default.",Read and write your organization's authorization policy
